year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Andorra,1,0,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Andorra,0.126,0.27684288,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,1,0,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.022,0.103844373,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.576,0.534350658,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.01,0.043844373,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.344,0.477716937,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.072,0.21057732,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Andorra,0.59,0.486949614,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Andorra,0.376,0.481353993,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Andorra,0.006,0.03,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Andorra,0.004,0.02,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Andorra,0.002,0.01,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.004,0.02,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.344,0.476427822,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.59,0.457694753,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.378,0.505566891,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.098,0.133514503,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.014,0.034256788,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.014,0.050427497,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,12,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,1,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10.308,0.434686109,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,8.76,0.419090805,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,19.2,1.248993655,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10.932,0.907579474,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,17.814,1.744048425,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,16.504,1.450689548,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,9.442,1.04634948,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,15.16,1.421537251,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10.99,2.005737423,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,12.96,1.905998543,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,9.058,1.548417595,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,15.23,2.377187521,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,3.774,1.453967135,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,7.412,1.892417534,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,25,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,12,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,10,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,12.454,0.474007002,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,7.96,0.147930152,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,18.936,0.778819028,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,8.868,0.949306787,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,10.072,1.173514042,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,10.966,1.328290281,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,12.836,1.358335734,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,2.332,0.869845274,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,15.766,2.435139247,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,27.308,2.505198365,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,15.35,2.031096148,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,6.49,1.349308592,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,5.568,1.081956278,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,6.56,1.529377043,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,16,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,22,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,14,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,28.532,0.733027648,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,26.66,0.507093893,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,19.036,1.325248352,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,14.18,1.243701953,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,21.712,1.877472722,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,16.694,1.669808214,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,13.384,1.73961849,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,14.414,2.107087561,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,13.422,2.321031241,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,11.712,1.960667215,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,9.182,1.954916877,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,6.056,1.773446318,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,12.872,2.480532565,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,13.464,2.789545131,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,25,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,27,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,26.424,0.461435707,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,36,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,28.546,0.52278689,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,33.858,1.637562694,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,37.168,2.168597211,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,26.528,1.925205659,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,25.92,2.161391501,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,32.2,2.292663519,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,17.316,1.988116895,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,35.46,3.238525175,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,31.272,2.83986982,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,22.19,2.938060982,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,23.384,3.024834636,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,21.64,2.89977748,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,15.832,3.023509987,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,3,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,1,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,1,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.906,0.270992476,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.48,0.55380897,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.608,0.531725511,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,2.384,0.805742489,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,1.292,0.788431968,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.158,0.37294101,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,8.26,1.897777507,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.048,0.159923499,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.738,0.776640588,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.25,0.465823372,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.168,0.351188417,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.2,0.407029023,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,28,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,16,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,25,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,15.244,0.68006502,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,32.904,1.498444701,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,90.224,3.015635312,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,28.152,2.756512237,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,20.986,2.277237882,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,24.03,2.687799391,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,31.14,3.113541815,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,38.704,4.077202972,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,33.626,3.857987658,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,17.942,3.020249761,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,17.886,3.214187453,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,13.71,2.925747644,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,13.98,2.978407331,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,United Arab Emirates,22.142,4.070674978,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Afghanistan,0.02,0.087688746,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Afghanistan,0.726,0.597493514,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Afghanistan,0.018,0.051794495,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,8,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,5.188,0.32973313,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,2,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,4.716,0.49585772,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,18.194,0.923995463,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,14.186,1.050411308,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,13.362,0.878067003,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,14.062,0.884918169,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,0.886,0.284302687,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,8.894,1.107809499,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,1.676,0.540206788,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,6.074,1.223974805,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,4.19,0.938039714,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,2.726,0.866019585,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Afghanistan,5.212,1.146806276,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Afghanistan,0.932,0.226387811,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Afghanistan,0.808,0.388771779,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Student,Afghanistan,0.306,0.458857037,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,6,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,4,0,Provisional
2018-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,5,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,6,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,7,0,Provisional
2018-07,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,5,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,3.924,0.210810852,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,0.95,0.177865615,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,0.952,0.181282491,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,1.552,0.55463213,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,0.01,0.036583124,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,1.054,0.628661378,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,3.566,1.05994822,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,0.702,0.470219562,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Afghanistan,0.494,0.454314712,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,1,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,0.94,0.193157026,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,0.932,0.220845772,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,0.896,0.287492218,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,0.758,0.491465125,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,0.028,0.100241406,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,0.018,0.083844373,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,Work,Afghanistan,0.592,0.507049072,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Afghanistan,0.094,0.260012944,Provisional
2018-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,1,0,Final
2018-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,1,0,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,2,0,Provisional
2018-06,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,1,0,Provisional
2018-08,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,0.848,0.348237073,Provisional
2018-09,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,0.804,0.362772262,Provisional
2018-11,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,3.826,0.828543323,Provisional
2018-12,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,4.684,0.958685617,Provisional
2019-01,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,0.61,0.517424058,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,0.604,0.497116034,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,0.238,0.423258318,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,0.362,0.500972866,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Afghanistan,0.032,0.126397033,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,non-NZ,Other,Antigua and Barbuda,0.02,0.087688746,Provisional
2018-03,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Antigua and Barbuda,1,0,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,non-NZ,Resident,Antigua and Barbuda,0.462,0.496232588,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Antigua and Barbuda,0.002,0.01,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Antigua and Barbuda,0.002,0.01,Provisional
2018-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Antigua and Barbuda,1,0,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Antigua and Barbuda,0.006,0.03,Provisional
2019-06,2019-06,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Antigua and Barbuda,0.102,0.274832094,Provisional
2018-10,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Antigua and Barbuda,0.49,0.500264851,Provisional
2019-02,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Antigua and Barbuda,0.07,0.202519735,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Antigua and Barbuda,0.212,0.404342743,Provisional
2019-04,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Antigua and Barbuda,0.02,0.081533119,Provisional
2019-05,2019-06,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Antigua and Barbuda,0.004,0.02,Provisional
2019-03,2019-06,Long-term migrant,Arrivals,non-NZ,Visitor,Anguilla,0.002,0.01,Provisional
